t,new_positive,new_reported
139.0,[18.354971003011215],[9.177485501505608]
140.0,[17.458779741646808],[8.729389870823404]
141.0,[16.62014392960223],[8.310071964801114]
142.0,[15.835226766211509],[7.9176133831057545]
143.0,[15.099497683328625],[7.549748841664313]
144.0,[14.408840489077523],[7.2044202445387615]
145.0,[13.760736175095394],[6.880368087547697]
146.0,[13.152637675322707],[6.576318837661353]
147.0,[12.581949722363053],[6.290974861181526]
148.0,[12.045713138908832],[6.022856569454416]
149.0,[11.541094267242473],[5.770547133621236]
150.0,[11.066376789727402],[5.533188394863701]
151.0,[10.61984460960603],[5.309922304803015]
152.0,[10.199748442106758],[5.099874221053379]
153.0,[9.804213191606298],[4.902106595803149]
154.0,[9.43119333994591],[4.715596669972955]
155.0,[9.079457543867816],[4.539728771933908]
156.0,[8.747855703266433],[4.3739278516332165]
157.0,[8.435215216961259],[4.2176076084806295]
158.0,[8.14034015433599],[4.070170077167995]
159.0,[7.8618423869245255],[3.9309211934622628]
160.0,[7.598692261773958],[3.799346130886979]
161.0,[7.350125122594131],[3.6750625612970653]
162.0,[7.115361231401118],[3.557680615700559]
163.0,[6.89360579737856],[3.44680289868928]
164.0,[6.684034244545241],[3.3420171222726207]
165.0,[6.4857474891952265],[3.2428737445976132]
166.0,[6.298168431455061],[3.1490842157275303]
167.0,[6.120784689899114],[3.060392344949557]
168.0,[5.953073910185695],[2.9765369550928473]
169.0,[5.794503800852052],[2.897251900426026]
170.0,[5.644524269795414],[2.822262134897707]
171.0,[5.502557985380393],[2.7512789926901964]
172.0,[5.368230475406206],[2.684115237703103]
173.0,[5.241204682926483],[2.6206023414632416]
174.0,[5.12113704519823],[2.560568522599115]
175.0,[5.007677524338664],[2.503838762169332]
176.0,[4.900469638841527],[2.4502348194207637]
177.0,[4.799135766633427],[2.3995678833167133]
178.0,[4.70339772226707],[2.351698861133535]
179.0,[4.613040554382713],[2.3065202771913564]
180.0,[4.527845140966672],[2.263922570483336]
181.0,[4.4475882120490455],[2.2237941060245228]
182.0,[4.372042372825811],[2.1860211864129053]
183.0,[4.300975341054582],[2.150487670527291]
184.0,[4.234158999599363],[2.1170794997996816]
185.0,[4.171444567164726],[2.085722283582363]
186.0,[4.1127003835325135],[2.0563501917662568]
187.0,[4.0577922078793405],[2.0288961039396702]
188.0,[4.006583234268805],[2.0032916171344026]
189.0,[3.958934107277942],[1.979467053638971]
190.0,[3.914702937757863],[1.9573514688789315]
191.0,[3.8737497252488122],[1.9368748626244061]
192.0,[3.835982552024329],[1.9179912760121645]
193.0,[3.8013315674531123],[1.9006657837265561]
194.0,[3.769725453893572],[1.884862726946786]
195.0,[3.7410914059267726],[1.8705457029633863]
196.0,[3.715355139674656],[1.857677569837328]
197.0,[3.6924409021655524],[1.8462204510827762]
198.0,[3.672271480746994],[1.836135740373497]
199.0,[3.6547899490201634],[1.8273949745100817]
200.0,[3.639967533836582],[1.819983766918291]
